encryptedHexCardNo,dateTimeTransaction,merchantCategoryCode,transactionAmount,latitude,longitude,cardBalance,is_fraud
4550600000000000.0,01-11-2020 16:10,"fraud_Kunze, Larkin and Mayert",9.29,40.7559,-82.5123,23800.68,0
30238800000000.0,18-08-2020 21:47,fraud_Pacocha-Weissnat,62.46,30.592,-97.2893,45953.11,0
213161000000000.0,24-06-2020 16:28,fraud_Lynch-Wisozk,183.82,43.0397,-77.6871,36944.96,0
2229820000000000.0,09-09-2020 19:11,fraud_Nienow PLC,65.56,30.2508,-89.6011,37055.14,0
4158950000000000.0,18-10-2020 20:52,fraud_Nolan-Williamson,126.43,40.4308,-79.9205,15190.69,0
6011650000000000.0,20-12-2020 17:23,"fraud_Little, Gutmann and Lynch",6.16,38.2911,-92.7059,24391.54,0
3525670000000000.0,27-12-2020 03:46,fraud_Welch Inc,82.48,46.3481,-87.0436,31942.08,0
3525590000000000.0,06-07-2020 17:32,fraud_Breitenberg-Hermiston,95.38,36.0424,-79.3242,41950.12,0
4586260000000.0,05-10-2020 08:56,fraud_Cummerata-Jones,74.73,40.1362,-95.2138,36403.55,0
4393520000000.0,02-10-2020 20:04,fraud_Padberg-Sauer,78.64,39.3391,-95.0999,20969.65,0
30442400000000.0,23-12-2020 15:53,fraud_Rau-Grant,9.77,41.5744,-75.5881,6858.72,0
370612000000000.0,05-11-2020 03:30,fraud_Auer-West,962.8,40.1159,-74.8536,6343.56,1
375083000000000.0,14-12-2020 13:57,"fraud_Feil, Hilpert and Koss",43.28,47.0999,-96.727,2607.73,0
2248740000000000.0,20-09-2020 22:56,"fraud_Denesik, Powlowski and Pouros",4.88,38.6411,-100.138,27730.23,0
213175000000000.0,29-12-2020 19:19,fraud_Torphy-Kertzmann,67.53,33.0771,-99.959,11567.08,0
4425160000000000.0,14-12-2020 02:04,fraud_McCullough LLC,3.12,31.4647,-100.39,40203.69,0
4265780000000000.0,27-10-2020 21:52,"fraud_Witting, Beer and Ernser",6.87,35.2087,-92.2123,20251.48,0
30118400000000.0,16-12-2020 13:25,fraud_Labadie LLC,80.59,40.4109,-74.238,35287.02,0
213174000000000.0,03-11-2020 05:05,fraud_Cummings LLC,41.07,41.2244,-86.6966,16272.37,0
213126000000000.0,03-07-2020 06:15,fraud_Kerluke PLC,8.26,42.074,-74.453,40992.86,0
4129770000000000.0,05-10-2020 14:20,fraud_Flatley Group,150.0,47.3551,-96.798,45415.53,0
379897000000000.0,17-11-2020 11:25,fraud_McCullough Group,61.23,38.3039,-85.4834,42450.52,0
38859500000000.0,27-12-2020 09:04,fraud_Hudson-Grady,9.66,42.1808,-112.262,48397.85,0
377027000000000.0,02-08-2020 15:07,fraud_Berge-Ullrich,104.81,37.3272,-91.0243,32622.89,0
4777070000000000.0,07-07-2020 13:47,"fraud_Graham, Hegmann and Hammes",54.17,40.1334,-75.4536,47183.7,0
4.04504e+18,19-08-2020 21:22,fraud_Hyatt-Blick,7.21,39.9458,-75.9703,41730.67,0
4.2929e+18,17-08-2020 13:12,fraud_Hamill-D'Amore,2.41,45.8433,-113.8748,17202.55,0
4427810000000.0,28-10-2020 20:03,fraud_Botsford and Sons,89.27,33.3305,-105.6933,39941.01,0
375849000000000.0,04-10-2020 02:13,"fraud_Tromp, Kerluke and Glover",52.28,31.4841,-97.9903,10146.17,0
30442400000000.0,18-07-2020 20:14,"fraud_Swaniawski, Lowe and Robel",113.23,41.5744,-75.5881,37135.33,0
4173950000000000.0,22-11-2020 21:36,fraud_Price Inc,6.19,40.333,-73.9809,16140.99,0
4430880000000000.0,11-07-2020 01:22,"fraud_Baumbach, Feeney and Morar",4.85,39.3199,-106.6596,5882.92,0
373043000000000.0,26-07-2020 22:25,fraud_Crooks and Sons,83.29,29.479,-95.9681,22972.92,0
502013000000.0,10-11-2020 07:22,fraud_Brekke and Sons,54.52,42.6315,-75.1866,7765.12,0
3529600000000000.0,15-12-2020 18:10,fraud_Dooley Inc,7.95,42.8948,-74.8209,48949.75,0
4.79263e+18,28-09-2020 17:47,"fraud_Hahn, Douglas and Schowalter",2.75,38.9462,-94.9714,2900.17,0
372382000000000.0,25-11-2020 17:50,fraud_Shanahan-Lehner,106.77,41.8948,-73.9767,45962.3,0
376028000000000.0,06-12-2020 23:11,fraud_Little Ltd,48.17,39.7795,-93.3014,15398.92,0
30135200000000.0,17-11-2020 05:42,fraud_Kuphal-Predovic,75.51,39.1412,-94.3515,26789.03,0
4777070000000000.0,30-06-2020 08:24,fraud_Bradtke PLC,93.71,40.1334,-75.4536,33957.28,0
4328930000000000.0,10-07-2020 16:12,fraud_Kozey-Boehm,48.37,42.9373,-87.9943,39804.49,0
372520000000000.0,05-10-2020 09:53,fraud_Hintz-Bruen,15.26,48.6031,-93.2977,46003.09,0
2720430000000000.0,21-09-2020 20:48,fraud_Friesen Inc,9.0,44.0575,-69.9656,37379.55,0
30044300000000.0,07-12-2020 02:46,fraud_Kerluke Inc,3.81,26.4722,-81.8122,5867.66,0
4586260000000.0,12-07-2020 15:34,fraud_Ernser-Feest,17.17,40.1362,-95.2138,11339.93,0
4066600000000.0,21-11-2020 09:55,"fraud_Greenholt, O'Hara and Balistreri",4.75,37.8795,-82.7251,22432.1,0
6528910000000000.0,28-12-2020 06:08,"fraud_Jenkins, Hauck and Friesen",37.41,45.8327,-91.0144,16900.94,0
4.51283e+18,09-09-2020 18:18,fraud_Beier and Sons,7.2,39.8936,-79.7856,11142.77,0
377993000000000.0,07-10-2020 15:30,fraud_Feil-Morar,69.95,44.8755,-88.1555,25676.54,0
4599290000000000.0,17-09-2020 18:42,fraud_Roob-Okuneva,178.0,38.0261,-97.6666,30679.43,0
213127000000000.0,23-12-2020 15:43,fraud_McKenzie-Huels,1.89,27.5155,-99.4986,33243.72,0
6534630000000000.0,26-10-2020 12:00,fraud_Rippin-VonRueden,16.08,44.3346,-73.098,33114.08,0
2297450000000000.0,25-08-2020 12:42,fraud_Emmerich-Rau,1.05,39.9972,-88.6962,39024.02,0
180068000000000.0,29-12-2020 00:54,fraud_Mraz-Herzog,44.03,42.9385,-88.395,31960.24,0
2242540000000000.0,07-12-2020 23:42,fraud_Fritsch and Sons,10.68,38.4921,-85.4524,37912.49,0
3546900000000000.0,29-12-2020 18:14,fraud_Lynch-Wisozk,3.14,31.6591,-96.8094,25941.62,0
2712210000000000.0,22-12-2020 22:16,"fraud_Little, Gutmann and Lynch",31.21,30.4066,-91.1468,24812.1,0
180031000000000.0,06-07-2020 19:41,fraud_Bogisich-Weimann,12.11,30.7145,-88.0918,11312.72,0
2254920000000000.0,21-12-2020 11:14,"fraud_Raynor, Reinger and Hagenes",40.31,38.0828,-76.3477,49457.1,0
2657850000000000.0,05-12-2020 10:47,fraud_Schmidt and Sons,4.8,42.3749,-83.1087,3796.58,0
349613000000000.0,06-10-2020 03:33,fraud_Bruen-Yost,26.32,37.1046,-83.5706,44085.1,0
4364010000000000.0,20-09-2020 09:29,fraud_Schamberger-O'Keefe,85.7,39.5483,-119.7957,24902.3,0
4755700000000.0,07-07-2020 20:26,fraud_Kutch-Ferry,139.75,32.9643,-96.6012,50449.05,0
213161000000000.0,14-07-2020 03:42,fraud_Will Ltd,203.76,34.048,-85.9246,14368.34,0
4841310000000000.0,07-12-2020 01:47,"fraud_Lockman, West and Runte",100.37,43.7185,-72.4439,40387.13,0
4957920000000.0,18-09-2020 05:20,fraud_Dooley Inc,5.95,39.6171,-102.4776,34851.0,0
4961000000000000.0,03-12-2020 13:12,fraud_Little Ltd,10.88,40.6284,-76.195,25624.69,0
3549200000000000.0,18-10-2020 11:58,fraud_Wolf Inc,105.54,43.5835,-70.3457,38580.36,0
4464460000000.0,22-07-2020 12:32,fraud_Barton LLC,43.69,29.8826,-84.5964,25534.62,0
567868000000.0,28-07-2020 18:37,fraud_Schroeder Group,77.04,29.7736,-95.4034,18336.11,0
3585740000000000.0,31-07-2020 14:35,fraud_Heaney-Marquardt,177.04,34.2956,-99.7494,20149.71,0
4878360000000000.0,01-12-2020 15:12,"fraud_Witting, Beer and Ernser",218.33,42.4483,-95.1726,2741.1,0
4562830000000.0,23-12-2020 16:57,fraud_Weimann-Lockman,83.66,40.0987,-84.6342,33261.98,0
3591920000000000.0,12-08-2020 19:05,fraud_Windler LLC,159.06,28.5697,-80.8191,20931.99,0
36913600000000.0,02-08-2020 13:32,fraud_Altenwerth-Kilback,54.51,43.6498,-116.4306,13771.87,0
3501940000000000.0,13-10-2020 20:34,fraud_Rutherford-Mertz,29.03,33.8155,-112.1202,29505.93,0
4514240000000000.0,01-12-2020 22:55,"fraud_Larkin, Stracke and Greenfelder",38.81,41.4247,-105.4781,10444.87,0
3576510000000000.0,27-06-2020 12:23,fraud_Block-Hauck,4.0,33.1044,-81.0221,17686.55,0
502038000000.0,15-11-2020 17:01,fraud_Will Ltd,51.62,36.6704,-93.0377,49588.78,0
4642890000000.0,10-10-2020 13:42,fraud_Lynch Ltd,9.56,40.7491,-95.038,37761.06,0
3575790000000000.0,07-12-2020 12:56,fraud_Bode-Rempel,19.17,38.7897,-93.8702,28102.39,0
213200000000000.0,24-06-2020 10:15,fraud_Huel Ltd,5.06,34.9298,-84.9885,15873.09,0
4683520000000000.0,19-07-2020 04:59,fraud_Rowe-Vandervort,73.31,33.9143,-118.3493,9802.18,0
371226000000000.0,25-06-2020 05:29,fraud_Padberg-Welch,116.8,38.9311,-89.2463,35876.38,0
6539650000000000.0,08-12-2020 00:59,fraud_Schulist Ltd,65.16,38.6865,-121.3494,41326.58,0
371985000000000.0,18-07-2020 23:09,fraud_Reilly and Sons,120.1,42.9576,-75.4838,8067.27,0
4003770000000000.0,04-12-2020 09:46,fraud_Lebsack and Sons,1.11,35.1791,-91.2594,12815.71,0
4302480000000000.0,03-12-2020 11:44,fraud_Bins-Rice,65.19,42.8511,-93.62,28674.7,0
4900630000000.0,15-12-2020 18:48,fraud_Fadel Inc,9.03,33.9056,-118.0818,2519.16,0
4586810000000000.0,17-09-2020 18:24,fraud_Gislason Group,152.56,32.5486,-80.307,29269.98,0
3567880000000000.0,14-10-2020 05:53,fraud_Welch Inc,1.73,44.0577,-76.0196,28319.16,0
4561550000000.0,20-07-2020 16:27,"fraud_Wuckert, Wintheiser and Friesen",101.51,34.9889,-106.0609,33728.16,0
4839620000000000.0,19-08-2020 01:06,fraud_McDermott-Weimann,144.32,39.013,-86.5457,47980.78,0
4.18183e+18,10-12-2020 10:29,fraud_Mante Group,311.48,36.6659,-105.4694,7818.55,0
374125000000000.0,21-09-2020 12:03,fraud_Gerhold LLC,35.03,38.9757,-77.0282,20502.64,0
4586810000000000.0,30-11-2020 11:21,fraud_Bins-Rice,29.42,32.5486,-80.307,46222.1,0
30235400000000.0,01-12-2020 19:36,"fraud_Hauck, Dietrich and Funk",30.27,38.5072,-81.89,14763.17,0
4364010000000000.0,24-11-2020 16:03,fraud_Labadie LLC,5.39,39.5483,-119.7957,35197.97,0
378905000000000.0,27-11-2020 21:40,fraud_Thiel Ltd,5.43,35.7382,-98.7388,30458.69,0
6538890000000000.0,07-09-2020 10:37,fraud_Wiegand-Lowe,64.91,36.0244,-90.9288,13347.61,0
4.22599e+18,28-12-2020 02:24,fraud_Abbott-Rogahn,1.92,20.0827,-155.488,45218.81,0
180014000000000.0,24-11-2020 21:29,fraud_Morissette-Schaefer,17.33,31.571,-86.2743,16180.77,0
3513620000000000.0,28-11-2020 17:40,fraud_Kilback LLC,28.35,43.7588,-97.8712,27330.78,0
213179000000000.0,08-12-2020 05:16,fraud_Luettgen PLC,65.02,43.0351,-108.2024,18260.91,0
3541160000000000.0,06-10-2020 23:15,"fraud_Lubowitz, Terry and Stracke",35.66,39.5723,-90.2379,4565.26,0
2286240000000000.0,27-10-2020 08:28,fraud_Parisian and Sons,46.9,38.5319,-93.9221,20912.49,0
4488940000000000.0,01-11-2020 12:28,fraud_Daugherty-Thompson,59.41,28.9254,-81.6801,35470.81,0
4.99235e+18,10-12-2020 14:47,"fraud_Larson, Quitzon and Spencer",1.2,41.173,-89.2187,17283.88,0
4334230000000000.0,20-12-2020 09:22,"fraud_Bins, Balistreri and Beatty",24.35,43.0172,-111.0292,17400.33,0
30176000000000.0,13-12-2020 14:02,fraud_Collier LLC,117.86,47.5375,-95.9941,43634.19,0
376657000000000.0,08-11-2020 15:50,fraud_Dooley Inc,835.7,31.1569,-94.3871,23947.83,0
4464460000000.0,06-07-2020 14:20,fraud_Morissette PLC,6.24,29.8826,-84.5964,16802.2,0
6506120000000000.0,14-09-2020 05:04,fraud_Jaskolski-Vandervort,4.43,32.2768,-95.3031,22288.12,0
4657270000000000.0,25-11-2020 20:31,fraud_Gottlieb-Hansen,63.42,30.7148,-85.021,43726.65,0
501899000000.0,14-11-2020 15:02,fraud_Eichmann-Kilback,128.65,33.9845,-85.9077,36065.84,0
4658490000000000.0,16-11-2020 19:23,fraud_Gottlieb Group,32.36,39.9636,-79.7853,9054.93,0
377234000000000.0,09-12-2020 08:30,"fraud_Greenholt, O'Hara and Balistreri",6.07,39.3716,-77.8229,32289.41,0
4.04504e+18,28-08-2020 03:10,fraud_Howe Ltd,6.19,39.9458,-75.9703,42996.01,0
180018000000000.0,28-07-2020 18:59,fraud_Padberg-Sauer,8.5,42.3703,-84.2485,5178.33,0
4917190000000000.0,08-12-2020 13:24,fraud_Johns-Hoeger,54.38,35.8759,-96.9623,42287.94,0
4025610000000000.0,18-08-2020 03:56,"fraud_Raynor, Reinger and Hagenes",68.55,41.1762,-79.1976,33013.71,0
4260000000000.0,19-10-2020 22:57,"fraud_Klocko, Runolfsdottir and Breitenberg",16.24,38.1485,-98.6408,37084.29,0
4988300000000.0,02-08-2020 06:39,fraud_Corwin-Collins,117.21,41.4575,-74.1659,44065.22,0
372509000000000.0,08-11-2020 07:56,fraud_Pacocha-O'Reilly,173.82,42.9147,-83.4845,50000.48,0
4294930000000.0,22-12-2020 10:53,"fraud_Labadie, Treutel and Bode",6.45,37.3696,-80.1284,42250.58,0
4079770000000.0,16-11-2020 23:32,fraud_Dibbert-Green,33.16,44.6255,-116.4493,19804.55,0
4658490000000000.0,02-08-2020 04:11,fraud_Brekke and Sons,54.34,39.9636,-79.7853,19689.22,0
4446370000000000.0,26-09-2020 16:42,fraud_Hyatt-Blick,489.68,37.9073,-75.5089,28306.55,0
4671730000000000.0,06-08-2020 10:02,"fraud_Okuneva, Schneider and Rau",14.23,40.8618,-85.6067,6320.64,0
377265000000000.0,18-10-2020 15:56,"fraud_Graham, Hegmann and Hammes",17.0,34.3424,-80.5,17691.3,0
4481130000000.0,10-10-2020 20:36,fraud_Botsford Ltd,6.8,42.2848,-71.7205,20893.89,0
30446000000000.0,01-08-2020 13:31,"fraud_Bernhard, Grant and Langworth",2.89,33.8396,-96.3648,2089.5,0
3500970000000000.0,27-07-2020 14:09,fraud_Gleason and Sons,7.63,47.2271,-117.0819,19428.19,0
375248000000000.0,18-10-2020 14:18,fraud_Abernathy and Sons,11.84,38.8564,-80.158,45818.93,0
3583790000000000.0,25-11-2020 16:50,"fraud_Ruecker, Beer and Collier",5.6,34.847,-98.9836,15014.86,0
213142000000000.0,05-11-2020 12:24,fraud_Wilkinson Ltd,93.38,32.153,-90.1217,48890.63,0
180068000000000.0,07-12-2020 14:07,fraud_Hilpert-Conroy,30.84,33.6773,-118.0051,7564.53,0
3518760000000000.0,18-10-2020 21:54,fraud_Bauch-Blanda,37.33,38.5677,-109.5271,28457.58,0
3585740000000000.0,30-06-2020 16:24,"fraud_Schaefer, Fay and Hilll",175.47,34.2956,-99.7494,15548.14,0
4926380000000000.0,25-11-2020 05:28,fraud_Torp-Lemke,41.88,36.3011,-91.5281,21897.17,0
5456710000000000.0,15-09-2020 02:31,"fraud_Rowe, Batz and Goodwin",160.13,36.1486,-105.6648,45118.97,0
4451950000000000.0,23-11-2020 11:12,fraud_Barton Inc,94.65,34.5444,-102.1069,40963.81,0
180036000000000.0,07-12-2020 18:09,fraud_Reichel LLC,6.9,42.9207,-91.0685,24684.57,0
377993000000000.0,22-12-2020 08:20,"fraud_Morissette, Weber and Wiegand",65.28,44.8755,-88.1555,26328.6,0
4198470000000.0,03-07-2020 14:05,fraud_Jast and Sons,9.7,41.4768,-95.3509,34984.52,0
4048510000000000.0,07-12-2020 20:11,fraud_Boyer-Reichert,4.89,41.366,-98.0054,40388.7,0
3599240000000000.0,16-10-2020 17:02,fraud_Kling-Ernser,99.51,36.8421,-85.5396,11502.18,0
3514870000000000.0,06-10-2020 21:35,fraud_Kris-Kertzmann,7.58,32.9396,-105.8189,7679.12,0
567868000000.0,28-06-2020 13:12,fraud_O'Hara-Wilderman,67.42,29.7736,-95.4034,15848.04,0
3560320000000000.0,23-06-2020 08:25,"fraud_Streich, Hansen and Veum",69.5,34.4793,-87.4769,13516.21,0
30267000000000.0,06-12-2020 03:10,fraud_Kiehn Inc,93.5,37.1349,-77.7364,33124.05,0
348790000000000.0,07-12-2020 20:58,fraud_Altenwerth-Kilback,8.4,40.4542,-98.6538,7833.69,0
3534090000000000.0,06-07-2020 07:09,fraud_Medhurst PLC,5.34,46.2306,-112.1138,14356.55,0
4873780000000000.0,03-08-2020 23:42,fraud_Hyatt-Blick,9.75,48.4786,-122.3345,38272.01,0
581686000000.0,26-07-2020 14:33,fraud_Leannon-Ward,167.25,41.5205,-80.0573,40800.3,0
30118400000000.0,17-08-2020 16:48,"fraud_Schuppe, Nolan and Hoeger",7.03,40.4109,-74.238,21504.36,0
6573560000000000.0,30-12-2020 14:00,"fraud_Mante, Luettgen and Hackett",1.59,36.2395,-95.9596,24629.44,0
3530500000000000.0,05-09-2020 20:06,fraud_Wilkinson LLC,48.23,34.5715,-118.0231,23132.73,0
4.46746e+18,20-12-2020 05:56,fraud_Kunze Inc,121.41,28.06,-82.4079,25657.38,0
6011680000000000.0,06-12-2020 06:50,fraud_Bradtke PLC,130.11,36.2835,-87.4581,31546.86,0
30230500000000.0,09-11-2020 03:00,fraud_Ankunding LLC,87.68,40.9661,-76.8575,35957.8,0
3538520000000000.0,28-12-2020 08:13,fraud_Hamill-Daugherty,6.04,41.5686,-83.3632,48569.11,0
4279160000000.0,03-09-2020 13:30,"fraud_Champlin, Rolfson and Connelly",3.16,40.0246,-79.6955,49024.22,0
2224100000000000.0,24-07-2020 10:26,fraud_Huels-Nolan,59.56,30.7906,-81.5607,48998.73,0
2291160000000000.0,09-12-2020 11:12,"fraud_Terry, Johns and Bins",3.29,33.9659,-80.9355,40417.36,0
3590740000000000.0,18-10-2020 20:18,"fraud_Kling, Howe and Schneider",51.32,34.5091,-92.4828,2262.28,0
6511350000000000.0,15-09-2020 20:42,fraud_Schiller Ltd,51.69,39.3426,-114.8859,46434.13,0
4767270000000000.0,19-09-2020 19:55,fraud_Champlin-Casper,14.77,40.375,-75.2045,27903.64,0
3526830000000000.0,11-08-2020 08:23,fraud_Sporer Inc,54.04,44.2529,-85.017,18255.0,0
373905000000000.0,07-12-2020 18:14,fraud_Waters-Cruickshank,51.76,31.929,-97.6443,39200.12,0
30197400000000.0,21-11-2020 18:18,fraud_Bahringer Group,53.52,36.1124,-78.6476,31446.34,0
4279160000000.0,24-11-2020 07:01,fraud_Cummerata-Jones,35.36,40.0246,-79.6955,5216.02,0
376657000000000.0,30-11-2020 14:04,"fraud_Effertz, Welch and Schowalter",87.23,31.1569,-94.3871,35642.7,0
377265000000000.0,04-10-2020 02:28,fraud_Fisher Inc,5.67,34.3424,-80.5,28274.5,0
584674000000.0,28-07-2020 18:33,"fraud_Conroy, Balistreri and Gorczany",4.52,47.5196,-101.2332,1603.35,0
3518230000000000.0,11-08-2020 17:46,fraud_Gerhold LLC,64.74,33.6372,-96.6184,42211.17,0
4.90663e+18,16-12-2020 20:33,"fraud_Torp, Muller and Borer",52.4,24.6557,-81.3824,22702.85,0
6011370000000000.0,30-12-2020 04:27,fraud_Pfeffer LLC,6.85,40.5046,-77.7186,28471.39,0
30560600000000.0,08-12-2020 02:38,fraud_Auer-Mosciski,145.03,40.4931,-91.8912,17041.68,0
4935860000000000.0,17-07-2020 16:18,fraud_Donnelly LLC,75.13,32.8088,-83.174,44359.7,0
4904680000000000.0,07-09-2020 17:41,fraud_Hilpert-Conroy,4.58,41.8467,-74.1038,12882.56,0
639024000000.0,24-07-2020 23:52,fraud_Friesen Ltd,86.27,44.6087,-74.9732,6433.22,0
5540640000000000.0,11-12-2020 10:39,fraud_Kunze Inc,32.96,42.6911,-71.1605,39800.6,0
4.79263e+18,17-11-2020 12:27,fraud_Schmidt and Sons,12.57,38.9462,-94.9714,28248.4,0
3543300000000000.0,09-12-2020 22:31,fraud_Donnelly LLC,93.82,36.8809,-82.0956,41116.23,0
4328930000000000.0,15-10-2020 10:08,fraud_Padberg-Welch,208.15,42.9373,-87.9943,3107.77,0
180085000000000.0,18-10-2020 21:18,fraud_Shields-Wunsch,42.25,28.7724,-96.4793,25293.53,0
4119760000000000.0,03-10-2020 07:03,"fraud_Towne, Greenholt and Koepp",35.4,40.7152,-89.2706,45567.55,0
5580560000000000.0,03-12-2020 21:00,fraud_Boyer-Haley,443.22,39.9961,-79.7678,5267.35,0
3559160000000000.0,10-12-2020 10:33,fraud_Mraz-Herzog,69.61,42.2701,-78.6847,48097.31,0
2383460000000000.0,29-08-2020 19:51,"fraud_Schoen, Nienow and Bauch",72.73,43.745,-70.9092,35340.25,0
3531130000000000.0,01-09-2020 14:12,"fraud_Lowe, Dietrich and Erdman",116.97,43.8065,-73.0882,19917.56,0
36153900000000.0,22-08-2020 21:12,fraud_Fahey Inc,59.75,28.1762,-81.9591,28761.31,0
3501940000000000.0,28-11-2020 23:53,fraud_Effertz LLC,3.43,33.8155,-112.1202,6992.59,0
373043000000000.0,28-09-2020 05:54,fraud_Corwin-Collins,72.64,29.479,-95.9681,15349.72,0
4509920000000000.0,28-06-2020 14:25,fraud_Pouros-Conroy,1.21,43.2893,-97.1904,4263.05,0
3590740000000000.0,28-07-2020 19:59,fraud_Volkman-Predovic,218.33,34.5091,-92.4828,32362.01,0
30551600000000.0,26-09-2020 22:44,"fraud_Zemlak, Tillman and Cremin",32.28,35.1836,-81.4552,39796.21,0
4904680000000000.0,16-08-2020 05:07,fraud_Cole PLC,100.0,41.8467,-74.1038,48030.54,0
4788100000000.0,20-10-2020 04:34,fraud_Dickinson Ltd,1.59,39.6321,-84.2675,46968.44,0
376262000000000.0,23-08-2020 12:51,fraud_Fritsch LLC,174.21,27.9611,-81.9398,44582.67,0
60490596305.0,11-07-2020 09:51,fraud_Bauch-Raynor,133.62,34.8838,-90.7666,35031.72,0
3523840000000000.0,24-12-2020 10:27,fraud_Spinka-Welch,54.55,32.6176,-86.9475,45875.94,0
2475090000000000.0,10-12-2020 00:27,"fraud_Little, Gutmann and Lynch",95.65,44.2378,-95.2739,25391.91,0
4.18183e+18,23-06-2020 13:21,fraud_Howe PLC,53.21,36.6659,-105.4694,9663.29,0
4450830000000000.0,27-06-2020 14:01,fraud_Mosciski Group,251.73,34.5906,-95.38,2538.33,0
4.48826e+18,29-09-2020 09:19,fraud_Lemke-Gutmann,5.88,33.9568,-81.1405,16077.81,0
370612000000000.0,07-07-2020 18:04,fraud_Pacocha-Weissnat,24.69,40.1159,-74.8536,3731.78,0
30267000000000.0,22-11-2020 10:57,fraud_Sporer Inc,63.1,37.1349,-77.7364,31072.41,0
4147610000000000.0,16-07-2020 00:13,fraud_Koss and Sons,66.49,44.1111,-94.9134,10261.44,0
6011110000000000.0,29-12-2020 14:20,fraud_Rippin-VonRueden,230.43,34.2651,-77.867,12700.68,0
372246000000000.0,21-08-2020 05:56,fraud_Buckridge PLC,80.9,44.3566,-103.6999,35402.9,0
213161000000000.0,27-12-2020 04:40,fraud_Grimes LLC,1.84,43.0397,-77.6871,16826.78,0
2720890000000000.0,09-11-2020 06:28,"fraud_Quitzon, Green and Bashirian",8.56,42.5978,-82.8823,18013.24,0
3521420000000000.0,22-12-2020 20:40,"fraud_Hintz, Bauch and Smith",187.81,39.849,-86.272,11513.42,0
3545110000000000.0,12-09-2020 19:24,"fraud_Langosh, Wintheiser and Hyatt",5.14,33.4783,-90.5142,34101.96,0
4005680000000000.0,21-08-2020 15:25,fraud_Windler LLC,25.34,30.459,-90.9027,10434.99,0
4658490000000000.0,18-12-2020 17:10,"fraud_Graham, Hegmann and Hammes",36.62,39.9636,-79.7853,35836.68,0
